Time,T2
1600276963.079615,1540.425150
1600276963.079615,1540.425923
1600276963.079615,1540.423604
1600276963.079615,1540.424377
1600276963.079615,1540.427468
1600276963.079615,1540.425150
1600276963.079615,1540.426695
1600276963.079620,1540.425150
1600276963.079620,1540.424377
1600276963.079620,1540.425923
1600276963.079620,1540.425150
1600276963.079620,1540.425923
1600276963.079620,1540.423604
1600276963.079620,1540.422831
1600276963.079620,1540.425923
1600276963.079620,1540.422831
1600276963.079620,1540.423604
1600276963.079620,1540.427468
1600276963.079623,1540.425150
1600276963.079623,1540.422058
1600276963.079623,1540.425923
1600276963.079623,1540.423604
1600276963.079623,1540.423604
1600276963.079623,1540.425923
1600276963.079623,1540.425923
1600276963.079623,1540.422831
1600276963.079623,1540.422831
1600276963.079623,1540.422831
1600276963.079623,1540.424377
1600276963.080916,1540.425150
1600276963.080916,1540.424377
1600276963.080916,1540.423604
1600276963.080916,1540.422831
1600276963.080916,1540.422831
1600276963.080916,1540.424377
1600276963.080916,1540.425923
1600276963.080916,1540.425923
1600276963.080916,1540.425150
1600276963.080916,1540.424377
1600276963.080916,1540.422831
1600276963.080921,1540.425150
1600276963.080921,1540.424377
1600276963.080921,1540.424377
1600276963.080921,1540.425150
1600276963.080921,1540.426695
1600276963.080921,1540.425923
1600276963.080921,1540.424377
1600276963.080921,1540.424377
1600276963.080921,1540.423604
1600276963.080921,1540.422831
1600276963.080921,1540.423604
1600276963.080923,1540.424377
1600276963.080923,1540.423604
1600276963.080923,1540.426695
1600276963.080923,1540.423604
1600276963.080923,1540.424377
1600276963.080923,1540.424377
1600276963.080923,1540.423604
1600276963.080923,1540.423604
1600276963.080923,1540.424377
1600276963.080923,1540.426695
1600276963.080923,1540.424377
1600276963.082231,1540.425150
1600276963.082231,1540.425150
1600276963.082231,1540.423604
1600276963.082231,1540.424377
1600276963.082231,1540.426695
1600276963.082231,1540.426695
1600276963.082231,1540.424377
1600276963.082231,1540.425150
1600276963.082231,1540.426695
1600276963.082231,1540.421285
1600276963.082231,1540.424377
1600276963.082236,1540.426695
1600276963.082236,1540.424377
1600276963.082236,1540.424377
1600276963.082236,1540.423604
1600276963.082236,1540.425150
1600276963.082236,1540.424377
1600276963.082236,1540.422831
1600276963.082236,1540.425150
1600276963.082236,1540.425150
1600276963.082236,1540.425923
1600276963.082236,1540.425150
1600276963.082238,1540.423604
1600276963.082238,1540.427468
1600276963.082238,1540.424377
1600276963.082238,1540.425150
1600276963.082238,1540.425150
1600276963.082238,1540.423604
1600276963.082238,1540.423604
1600276963.082238,1540.423604
1600276963.082238,1540.426695
1600276963.082238,1540.423604
1600276963.082238,1540.425150
1600276963.083548,1540.423604
1600276963.083548,1540.424377
1600276963.083548,1540.424377
1600276963.083548,1540.424377
1600276963.083548,1540.425150
1600276963.083548,1540.424377
1600276963.083548,1540.426695
1600276963.083548,1540.422058
1600276963.083548,1540.422058
1600276963.083548,1540.424377
